iter	Passed	Remaining
0	880	439508
1	1691	421098
2	2522	417945
3	3372	418128
4	4184	414248
5	5055	416264
6	5901	415608
7	6751	415211
8	7562	412587
9	8375	410420
10	9205	409224
11	10049	408671
12	10851	406527
13	11726	407074
14	12573	406551
15	13411	405706
16	14248	404838
17	15106	404529
18	15954	403906
19	16768	402441
20	17627	402076
21	18424	400322
22	19251	399265
23	20024	397151
24	20902	397150
25	21764	396790
26	22520	394518
27	23344	393517
28	24076	391036
29	24896	390039
30	25849	391082
31	26599	389024
32	27513	389356
33	28262	387358
34	29099	386610
35	29987	386507
36	30846	385999
37	31726	385723
38	32616	385540
39	33495	385197
40	34361	384677
41	35225	384130
42	36035	382980
43	36951	382949
44	37757	381774
45	38630	381267
46	39497	380690
47	40356	380024
48	41245	379627
49	42087	378785
50	42860	377336
51	43610	375724
52	44483	375168
53	45364	374675
54	46253	374230
55	47102	373459
56	47946	372638
57	48713	371228
58	49472	369787
59	50363	369335
60	51120	367900
61	51840	366227
62	52643	365159
63	53541	364753
64	54430	364265
65	55302	363654
66	56091	362501
67	56852	361177
68	57688	360343
69	58551	359670
70	59446	359191
71	60209	357912
72	60965	356603
73	61820	355887
74	62659	355069
75	63494	354233
76	64360	353567
77	65234	352934
78	66103	352273
79	66985	351674
80	67779	350613
81	68563	349504
82	69407	348707
83	70286	348083
84	71008	346687
85	71852	345893
86	72693	345085
87	73538	344294
88	74347	343333
89	75124	342233
90	75871	341005
91	76730	340281
92	77514	339229
93	78365	338470
94	79215	337706
95	80112	337138
96	81022	336620
97	81897	335947
98	82791	335346
99	83686	334744
100	84544	333992
101	85399	333224
102	86245	332422
103	87130	331764
104	87943	330834
105	88748	329874
106	89502	328735
107	90398	328111
108	91227	327246
109	92092	326509
110	92963	325791
111	93728	324701
112	94607	324010
113	95521	323433
114	96366	322617
115	97143	321578
116	97963	320684
117	98830	319941
118	99649	319044
119	100485	318203
120	101342	317426
121	102168	316555
122	103002	315705
123	103840	314872
124	104710	314130
125	105564	313343
126	106448	312640
127	107268	311748
128	108126	310969
129	108974	310157
130	109842	309403
131	110688	308584
132	111498	307667
133	112329	306811
134	113190	306032
135	114032	305203
136	114790	304153
137	115680	303452
138	116542	302675
139	117379	301833
140	118197	300943
141	119048	300136
142	119901	299335
143	120734	298483
144	121552	297594
145	122348	296652
146	123122	295660
147	123984	294881
148	124879	294179
149	125753	293424
150	126562	292517
151	127450	291795
152	128316	291019
153	129196	290272
154	129997	289349
155	130850	288543
156	131727	287787
157	132575	286968
158	133444	286192
159	134369	285534
160	135225	284729
161	136003	283761
162	136855	282947
163	137989	282710
164	138808	281824
165	139582	280847
166	140493	280145
167	141357	279350
168	142262	278633
169	143077	277739
170	143817	276701
171	144671	275884
172	145518	275054
173	146370	274233
174	147224	273417
175	148094	272629
176	148966	271842
177	149741	270881
178	150473	269843
179	151248	268886
180	152084	268038
181	152931	267209
182	153853	266511
183	154720	265716
184	155589	264923
185	156446	264108
186	157309	263304
187	158016	262240
188	158800	261307
189	159575	260359
190	160393	259484
191	161256	258682
192	162064	257791
193	162854	256874
194	163709	256058
195	164518	255171
196	165303	254247
197	166190	253482
198	166979	252566
199	167799	251699
200	168559	250743
201	169459	249995
202	170289	249143
203	171165	248357
204	172050	247584
205	172977	246870
206	173874	246112
207	174674	245215
208	175517	244380
209	176351	243533
210	177127	242605
211	177988	241795
212	178832	240962
213	179784	240272
214	180711	239547
215	181531	238680
216	182313	237763
217	183147	236915
218	184057	236164
219	184910	235340
220	185716	234456
221	186623	233699
222	187497	232900
223	188321	232038
224	189197	231241
225	189986	230337
226	190883	229564
227	191797	228811
228	192615	227942
229	193535	227193
230	194282	226242
231	195148	225429
232	195990	224590
233	196755	223662
234	197616	222844
235	198510	222062
236	199381	221254
237	200126	220307
238	200990	219492
239	201853	218674
240	202730	217872
241	203465	216918
242	204339	216112
243	205143	215232
244	206043	214453
245	206909	213638
246	207768	212815
247	208631	211996
248	209540	211223
249	210418	210418
250	211352	209668
251	212224	208856
252	213121	208067
253	213970	207230
254	214768	206346
255	215487	205386
256	216352	204567
257	217277	203802
258	218137	202977
259	219016	202168
260	219798	201271
261	220727	200507
262	221529	199629
263	222414	198825
264	223311	198030
265	224228	197253
266	224976	196327
267	225881	195539
268	226771	194736
269	227613	193893
270	228504	193090
271	229364	192261
272	230256	191458
273	231136	190645
274	231975	189798
275	232836	188968
276	233695	188137
277	234562	187312
278	235415	186476
279	236197	185583
280	237087	184776
281	237991	183979
282	238766	183082
283	239575	182212
284	240420	181369
285	241266	180528
286	242141	179708
287	243035	178901
288	243882	178059
289	244638	177152
290	245449	176285
291	246237	175402
292	247094	174568
293	247800	173628
294	248659	172797
295	249457	171923
296	250168	170990
297	251051	170175
298	251901	169338
299	252751	168501
300	253566	167640
301	254412	166800
302	255184	165912
303	255945	165017
304	256781	164171
305	257641	163341
306	258417	162457
307	259185	161569
308	259972	160694
309	260851	159876
310	261717	159050
311	262560	158209
312	263344	157333
313	264228	156517
314	265156	155727
315	266075	154929
316	266875	154064
317	267743	153236
318	268640	152425
319	269519	151604
320	270293	150724
321	271218	149928
322	272091	149102
323	272952	148270
324	273848	147456
325	274751	146646
326	275643	145829
327	276590	145041
328	277367	144163
329	278292	143362
330	279042	142471
331	279958	141665
332	280813	140828
333	281708	140010
334	282546	139164
335	283447	138349
336	284334	137526
337	285164	136676
338	286070	135862
339	286875	135000
340	287732	134162
341	288624	133341
342	289524	132523
343	290413	131699
344	291328	130886
345	292218	130062
346	293124	129245
347	294006	128416
348	294800	127549
349	295614	126691
350	296412	125827
351	297254	124982
352	298136	124152
353	298985	123310
354	299727	122424
355	300598	121590
356	301385	120722
357	302282	119899
358	303198	119083
359	304086	118255
360	304932	117411
361	305697	116536
362	306607	115717
363	307534	114903
364	308412	114070
365	309269	113229
366	310150	112397
367	310998	111553
368	311863	110715
369	312729	109877
370	313583	109035
371	314422	108188
372	315316	107359
373	316156	106512
374	317038	105679
375	317800	104806
376	318682	103973
377	319563	103139
378	320308	102262
379	321077	101393
380	321842	100523
381	322673	99673
382	323540	98836
383	324387	97992
384	325256	97154
385	326094	96307
386	326859	95439
